/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cpu
global_step=5108, episodic_return=[161.02089]
global_step=5190, episodic_return=[157.22758]
SPS: 270
global_step=5275, episodic_return=[164.04044]
SPS: 270
global_step=5361, episodic_return=[167.85463]
SPS: 270
global_step=5444, episodic_return=[161.25021]
SPS: 270
global_step=5529, episodic_return=[170.98721]
SPS: 271
global_step=5615, episodic_return=[165.95926]
global_step=5699, episodic_return=[162.9875]
SPS: 271
global_step=5785, episodic_return=[168.75919]
SPS: 271
global_step=5871, episodic_return=[168.69164]
SPS: 271
global_step=5957, episodic_return=[166.09705]
SPS: 271
global_step=6043, episodic_return=[170.28802]
SPS: 271
global_step=6129, episodic_return=[169.5678]
SPS: 271
global_step=6215, episodic_return=[167.5542]
SPS: 271
global_step=6301, episodic_return=[167.33981]
global_step=6387, episodic_return=[166.79454]
SPS: 271
global_step=6473, episodic_return=[166.79454]
SPS: 271
global_step=6559, episodic_return=[167.63026]
SPS: 271
global_step=6642, episodic_return=[159.78636]
SPS: 271
global_step=6728, episodic_return=[170.86827]
SPS: 271
global_step=6813, episodic_return=[166.0065]
global_step=6898, episodic_return=[167.02563]
SPS: 271
global_step=6984, episodic_return=[167.1495]
SPS: 271
global_step=7070, episodic_return=[169.24527]
SPS: 271
global_step=7156, episodic_return=[167.35645]
SPS: 271
global_step=7240, episodic_return=[170.43335]
SPS: 271
global_step=7325, episodic_return=[165.11154]
SPS: 271
global_step=7409, episodic_return=[162.19942]
global_step=7495, episodic_return=[166.52905]
SPS: 271
global_step=7580, episodic_return=[165.19138]
SPS: 271
global_step=7665, episodic_return=[165.70796]
SPS: 271
global_step=7750, episodic_return=[169.43257]
SPS: 271
global_step=7834, episodic_return=[167.97983]
SPS: 271
global_step=7919, episodic_return=[169.44063]
SPS: 271
global_step=8004, episodic_return=[166.44896]
global_step=8089, episodic_return=[165.01622]
SPS: 271
global_step=8175, episodic_return=[168.23907]
SPS: 271
global_step=8259, episodic_return=[168.69524]
SPS: 271
global_step=8344, episodic_return=[168.48402]
SPS: 271
global_step=8429, episodic_return=[166.56721]
SPS: 271
global_step=8514, episodic_return=[168.93906]
global_step=8598, episodic_return=[167.29611]
SPS: 271
global_step=8683, episodic_return=[165.08566]
SPS: 271
global_step=8766, episodic_return=[167.94858]
SPS: 271
global_step=8851, episodic_return=[165.98367]
SPS: 271
global_step=8935, episodic_return=[169.32056]
SPS: 271
global_step=9020, episodic_return=[166.7375]
SPS: 271
global_step=9105, episodic_return=[166.3947]
global_step=9190, episodic_return=[164.5999]
SPS: 271
global_step=9273, episodic_return=[161.33464]
SPS: 271
global_step=9359, episodic_return=[167.25325]
SPS: 271
global_step=9443, episodic_return=[166.70691]
SPS: 271
global_step=9528, episodic_return=[166.23836]
SPS: 271
global_step=9613, episodic_return=[166.99101]
global_step=9698, episodic_return=[168.64407]
SPS: 271
global_step=9783, episodic_return=[165.19777]
SPS: 271
global_step=9867, episodic_return=[171.0595]
SPS: 271
global_step=9953, episodic_return=[170.01999]
SPS: 271
global_step=10039, episodic_return=[170.81898]
SPS: 271
global_step=10123, episodic_return=[171.70027]
SPS: 271
global_step=10208, episodic_return=[169.81061]
global_step=10293, episodic_return=[170.77808]
SPS: 271
global_step=10378, episodic_return=[171.71213]
SPS: 271
global_step=10463, episodic_return=[165.40245]
SPS: 271
global_step=10548, episodic_return=[168.99771]
SPS: 271
global_step=10634, episodic_return=[168.35097]
SPS: 271
global_step=10718, episodic_return=[166.37576]
SPS: 271
global_step=10803, episodic_return=[169.19745]
global_step=10888, episodic_return=[166.45988]
SPS: 271
global_step=10972, episodic_return=[169.9602]
SPS: 271
global_step=11057, episodic_return=[167.18562]
SPS: 271
global_step=11142, episodic_return=[164.85844]
SPS: 271
global_step=11226, episodic_return=[169.25029]
SPS: 271
global_step=11311, episodic_return=[166.21553]
global_step=11396, episodic_return=[169.04224]
SPS: 271
global_step=11481, episodic_return=[169.51822]
SPS: 271
global_step=11565, episodic_return=[166.1748]
SPS: 271
global_step=11650, episodic_return=[167.60684]
SPS: 271
global_step=11734, episodic_return=[166.2637]
SPS: 271
global_step=11819, episodic_return=[167.97235]
SPS: 271
global_step=11903, episodic_return=[163.45726]
global_step=11986, episodic_return=[161.82484]
SPS: 271
global_step=12070, episodic_return=[170.46646]
SPS: 272
global_step=12155, episodic_return=[167.98141]
SPS: 272
global_step=12239, episodic_return=[169.08986]
SPS: 272
global_step=12323, episodic_return=[164.74464]
SPS: 272
global_step=12408, episodic_return=[169.78392]
global_step=12493, episodic_return=[168.74423]
SPS: 272
global_step=12578, episodic_return=[165.7491]
SPS: 272
global_step=12663, episodic_return=[166.26535]
SPS: 272
global_step=12748, episodic_return=[168.32109]
SPS: 272
global_step=12833, episodic_return=[168.1863]
SPS: 272
global_step=12918, episodic_return=[166.91704]
SPS: 272
global_step=13004, episodic_return=[168.72746]
global_step=13089, episodic_return=[168.41078]
SPS: 272
global_step=13174, episodic_return=[166.91653]
SPS: 272
global_step=13259, episodic_return=[167.6135]
SPS: 272
global_step=13345, episodic_return=[168.92703]
SPS: 272
global_step=13430, episodic_return=[168.36519]
SPS: 272
global_step=13515, episodic_return=[166.60333]
global_step=13600, episodic_return=[168.98021]
SPS: 272
global_step=13685, episodic_return=[167.11977]
SPS: 272
global_step=13770, episodic_return=[166.33037]
SPS: 272
global_step=13855, episodic_return=[172.05215]
SPS: 272
global_step=13939, episodic_return=[164.43059]
SPS: 272
global_step=14025, episodic_return=[168.44142]
SPS: 272
global_step=14110, episodic_return=[167.98564]
global_step=14195, episodic_return=[172.65607]
SPS: 272
global_step=14279, episodic_return=[169.42139]
SPS: 272
