libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card4: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card3: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card2: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card1: Permission denied

/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cuda
global_step=4028, episodic_return=[25.808296]
global_step=4049, episodic_return=[15.510846]
global_step=4063, episodic_return=[9.63821]
global_step=4074, episodic_return=[8.863639]
global_step=4093, episodic_return=[16.019444]
global_step=4106, episodic_return=[8.605234]
global_step=4119, episodic_return=[8.946108]
global_step=4146, episodic_return=[26.242447]
global_step=4160, episodic_return=[10.848424]
global_step=4185, episodic_return=[25.680252]
global_step=4197, episodic_return=[10.251773]
global_step=4234, episodic_return=[38.7899]
global_step=4258, episodic_return=[24.81161]
global_step=4274, episodic_return=[13.477428]
global_step=4285, episodic_return=[8.154961]
global_step=4297, episodic_return=[8.190714]
global_step=4316, episodic_return=[14.633832]
global_step=4351, episodic_return=[23.943407]
global_step=4366, episodic_return=[14.825683]
global_step=4380, episodic_return=[10.86439]
global_step=4412, episodic_return=[26.366417]
global_step=4429, episodic_return=[17.30703]
global_step=4462, episodic_return=[33.21909]
global_step=4483, episodic_return=[16.082838]
global_step=4518, episodic_return=[23.951826]
global_step=4528, episodic_return=[7.6526365]
global_step=4558, episodic_return=[18.537014]
global_step=4570, episodic_return=[6.1636505]
global_step=4588, episodic_return=[12.043251]
global_step=4608, episodic_return=[12.357389]
global_step=4628, episodic_return=[12.37872]
global_step=4640, episodic_return=[10.048963]
global_step=4663, episodic_return=[17.073519]
global_step=4689, episodic_return=[21.473314]
global_step=4700, episodic_return=[7.9410195]
global_step=4711, episodic_return=[7.507121]
global_step=4733, episodic_return=[6.672391]
global_step=4752, episodic_return=[12.429984]
global_step=4761, episodic_return=[6.9110622]
global_step=4780, episodic_return=[15.171541]
global_step=4808, episodic_return=[20.739357]
global_step=4824, episodic_return=[12.86224]
global_step=4841, episodic_return=[13.085238]
global_step=4856, episodic_return=[12.285757]
global_step=4876, episodic_return=[17.414215]
global_step=4903, episodic_return=[29.09583]
global_step=4925, episodic_return=[12.067542]
global_step=4948, episodic_return=[23.91979]
global_step=4968, episodic_return=[17.156742]
global_step=4987, episodic_return=[14.252809]
global_step=5005, episodic_return=[9.567232]
global_step=5032, episodic_return=[29.959644]
global_step=5049, episodic_return=[14.335295]
global_step=5066, episodic_return=[8.422288]
global_step=5080, episodic_return=[11.341222]
global_step=5105, episodic_return=[14.579855]
global_step=5122, episodic_return=[10.754318]
global_step=5145, episodic_return=[12.139002]
global_step=5163, episodic_return=[11.350932]
global_step=5179, episodic_return=[13.404358]
global_step=5202, episodic_return=[16.345]
global_step=5223, episodic_return=[12.679556]
global_step=5282, episodic_return=[93.179405]
global_step=5306, episodic_return=[8.770565]
global_step=5324, episodic_return=[10.834843]
global_step=5356, episodic_return=[15.018037]
global_step=5370, episodic_return=[10.374881]
global_step=5383, episodic_return=[10.162079]
global_step=5400, episodic_return=[11.7542095]
global_step=5411, episodic_return=[7.2766585]
global_step=5422, episodic_return=[7.0781555]
global_step=5432, episodic_return=[7.419933]
global_step=5452, episodic_return=[18.065271]
global_step=5513, episodic_return=[91.25248]
global_step=5531, episodic_return=[11.890256]
global_step=5551, episodic_return=[10.731136]
global_step=5570, episodic_return=[17.529478]
global_step=5583, episodic_return=[10.479786]
global_step=5595, episodic_return=[8.663904]
global_step=5605, episodic_return=[6.553408]
global_step=5664, episodic_return=[89.628334]
global_step=5676, episodic_return=[10.16699]
global_step=5692, episodic_return=[11.507735]
global_step=5720, episodic_return=[20.95891]
global_step=5737, episodic_return=[10.951233]
global_step=5758, episodic_return=[15.691896]
global_step=5785, episodic_return=[14.662844]
global_step=5805, episodic_return=[12.642328]
global_step=5817, episodic_return=[9.168608]
global_step=5862, episodic_return=[26.742939]
global_step=5885, episodic_return=[26.455318]
global_step=5908, episodic_return=[19.708332]
global_step=5943, episodic_return=[13.243303]
global_step=5956, episodic_return=[11.154663]
global_step=5975, episodic_return=[16.221443]
global_step=5997, episodic_return=[13.476192]
global_step=6010, episodic_return=[11.677543]
global_step=6019, episodic_return=[6.6630783]
global_step=6036, episodic_return=[8.137502]
global_step=6057, episodic_return=[17.050179]
global_step=6070, episodic_return=[10.553468]
global_step=6089, episodic_return=[15.2569475]
global_step=6123, episodic_return=[49.344124]
global_step=6149, episodic_return=[12.514664]
global_step=6162, episodic_return=[9.480997]
global_step=6207, episodic_return=[63.41625]
global_step=6224, episodic_return=[11.997761]
global_step=6244, episodic_return=[15.698347]
global_step=6259, episodic_return=[11.112071]
global_step=6277, episodic_return=[18.302689]
global_step=6303, episodic_return=[20.762894]
global_step=6318, episodic_return=[14.413863]
global_step=6330, episodic_return=[9.411139]
global_step=6344, episodic_return=[9.24591]
global_step=6361, episodic_return=[15.61784]
global_step=6399, episodic_return=[36.93659]
global_step=6425, episodic_return=[12.794565]
global_step=6459, episodic_return=[20.974371]
global_step=6511, episodic_return=[73.09384]
global_step=6523, episodic_return=[11.216599]
global_step=6532, episodic_return=[6.6410794]
global_step=6543, episodic_return=[7.7686734]
global_step=6560, episodic_return=[14.653442]
global_step=6576, episodic_return=[9.75569]
global_step=6636, episodic_return=[66.84939]
global_step=6646, episodic_return=[7.7235985]
global_step=6679, episodic_return=[33.591972]
global_step=6719, episodic_return=[34.272232]
global_step=6736, episodic_return=[15.616648]
global_step=6769, episodic_return=[9.366294]
global_step=6782, episodic_return=[11.1147]
global_step=6831, episodic_return=[49.93007]
global_step=6851, episodic_return=[7.917845]
global_step=6874, episodic_return=[21.921415]
global_step=6891, episodic_return=[15.542123]
global_step=6905, episodic_return=[7.9718285]
global_step=6924, episodic_return=[8.406057]
